hr:min:sec 	hr:min:sec 	annotation	layer	index
0:06:18	0:06:59	<i>Un pueblo que lucha <br> Será la que nos guiará a la victoria final. <br> Hermanos, unidos para combatir. <br> Avancemos a la revolución. <br> Construyamos un futuro de progreso y dignidad. <br> Revolución o muerte, venceremos. <br> Farabundo Martí nos inspiró <br> y hoy resurge victorioso en nuestro frente. <br> La bandera roja y blanca nos protegerá <br> y una estrella el sendero nos señalará.	Música	Canción
0:06:59	0:07:11	Farabundo Martí, vienes rompiendo caminos libertarios por donde transitarán la paz y la justicia de nuestro pueblo.	Radio Venceremos	
0:07:12	0:07:34	Hermanos unidos para combatir. Avancemos a la revolución. Construyamos un futuro de progreso y dignidad. Revolución o muerte, ¡venceremos!	Radio Venceremos	
0:07:34	0:07:35	¡Venceremos!	Radio Venceremos	
0:07:41	0:07:52	Radio Venceremos presenta un resumen de los principales acontecimientos en 1981, año de avances y victorias para nuestro pueblo.	Radio Venceremos	
0:07:55	0:08:04	Primero de enero, entra en vigor la Ley de Estabilización Económica en un vano intento de solucionar la crisis que vive el país.	Radio Venceremos	
0:08:05	0:08:18	Cuatro de enero. El Frente Democrático Revolucionario nombra a Guillermo Manuel Ungo como presidente y a Eduardo Calles como vicepresidente de esa entidad unitaria.	Radio Venceremos	
0:08:19	0:08:34	Cuatro de enero. Miembros del Escuadrón de la Muerte asesinan a Michael Hammer, asesor del Instituto Norteamericano de Desarrollo y a Mark Pearlinan. En este hecho está involucrado Ricardo Sol.	Radio Venceremos	
0:08:35	0:08:46	Seis de enero. Combatientes del Frente Farabundo Martí para la Liberación Nacional en el cerro de Guazapa derriban avión marca Corsair.	Radio Venceremos	
0:08:46	0:09:19	10 de enero. El Frente Farabundo Martí para la Liberación Nacional hace un llamado a la ofensiva general a través de Radio Venceremos, emisora que en este día sale por primera vez al aire. Nuestras fuerzas activan contra emplazamientos enemigos en diferentes partes del país. Igualmente el 10 de enero se constituye la comisión político-diplomática del Frente Democrático Revolucionario, Frente Farabundo Martí para la Liberación Nacional.	Radio Venceremos	
0:09:20	0:09:43	El mismo 10 de enero la segunda brigada del cuartel de Santana pasa a las filas del Frente Farabundo Martí para la Liberación Nacional después de quemar el cuartel. Los integrantes son dos oficiales, Marcelo Cruz Cruz y Francisco Emilio Mena Sandoval. Junto a ellos se levantan 70 soldados más.	Radio Venceremos	
0:09:45	0:10:01	11 de enero. Es capturada la comandante Lilian Mercedes Letona, en ese momento responsable de las milicias del FMLN en el frente central junto con los compañeros Mario Vigil y Ana Margarita Núñez.	Radio Venceremos	
0:10:01	0:10:09	Este mismo día se toma de la ciudad de Chalatenango y se sitia el cuartel de El Paraíso.	Radio Venceremos	
0:10:10	0:10:19	12 de enero. Fuerzas del Frente Oriental Francisco Sánchez se toman la ciudad de San Francisco Gotera por varias horas.	Radio Venceremos	
0:10:21	0:10:36	Este mismo día fuerzas del Frente Paracentral Anastasio Aquino se toman San Cayetano y Zacatecoluca, San Ildefonso, San Esteban Catarina y San Sebastián simultáneamente.	Radio Venceremos	
0:10:39	0:10:54	15 de enero. Fuerzas combinadas del ejército y cuerpos de seguridad allana el local de la Agencia Independiente de Prensa, AIP, y capturan a la licenciada Vida Cuadra y tres periodistas más.	Radio Venceremos	
0:10:55	0:11:11	17 de enero. Fecha heroica de Cutumay Camones. Mueren en combate 94 combatientes del Frente Farabundo Martí para la Liberación Nacional, entre ellos tres miembros de la dirección de la zona.	Radio Venceremos	
0:11:14	0:11:21	17 de enero. Capturan a nuestro compañero Facundo Guardado en Tegucigalpa, Honduras.	Radio Venceremos	
0:11:22	0:11:32	18 de enero. 700 efectivos de las Fuerzas Armadas allanan el local de la Universidad Centroamericana José Simeón Cañas.	Radio Venceremos	
0:11:35	0:11:48	19 de enero. Fuerzas del FMLN atacan simultáneamente los cuarteles de la Guardia Nacional, Policía Nacional y Marina en Suchitoto, departamento de Cuscatlán.	Radio Venceremos	
0:11:49	0:12:02	25 de enero. Capturan al secretario de la comisión de derechos humanos de El Salvador, Víctor Medrano. Fue liberado posteriormente por la presión popular.	Radio Venceremos	
0:12:03	0:12:14	En los últimos días del mes de enero fue firmado el pacto de convergencia entre la juventud militar y el Frente Farabundo Martí para la Liberación Nacional.	Radio Venceremos	
0:12:20	0:12:33	20 de febrero. Capturan al coronel Adolfo Majano en la ciudad de Guatemala. Es extraditado a El Salvador. Duarte asegura, "Se hará juicio militar".	Radio Venceremos	
0:12:34	0:12:47	23 de febrero. El Departamento de Estado de los Estados Unidos hizo público el libro blanco en un intento de justificar la intervención de los Estados Unidos en El Salvador.	Radio Venceremos	
0:12:48	0:12:55	24 de febrero. Voladura del polvorín de la Tercera Brigada de Infantería en San Miguel.	Radio Venceremos	
0:12:56	0:13:08	Día 27. El FMLV presenta al prisionero de guerra Santos Enrique Díaz Alvarenga de 22 años de edad, destacado en la Tercera Brigada de Infantería en San Miguel.	Radio Venceremos	
0:13:09	0:13:32	Primero de marzo. Los comandantes Fermán Cienfuegos y Joaquín Villalobos del Frente Farabundo Martí para la Liberación Nacional se reúnen con el señor Carlson, secretario general de la Internacional Socialista para presentarle un análisis de la situación salvadoreña. La reunión se efectuó en Panamá.	Radio Venceremos	
0:13:33	0:13:39	El seis se cierra oficialmente en Costa Rica a Radio Noticias del Continente.	Radio Venceremos	
0:13:40	0:13:49	Nueve de marzo. Fuerzas del ejército de la junta militar democristiana inicia ofensiva en el departamento de Morazán.	Radio Venceremos	
0:13:51	0:14:08	24 de marzo. En el primer aniversario de la muerte de monseñor Óscar Arnulfo Romero la comandancia general del Frente Farabundo Martí para la Liberación Nacional ordena un cese al fuego en honor al obispo mártir.	Radio Venceremos	
0:14:09	0:14:18	25 de marzo. Masacre en la cueva de la pintada a inmediaciones de Chalatenango, sector fronterizo con Honduras.	Radio Venceremos	
0:14:19	0:14:30	El 31 de marzo fuerzas del Frente Oriental Francisco Sánchez rompen el cerco militar de la dictadura y vencen un gigantesco operativo contra el departamento de Morazán.	Radio Venceremos	
0:14:32	0:14:39	(Música sin letra)	Música	
0:14:40	0:14:55	Atención, Radio Venceremos en esta transmisión dará a conocer el comunicado de la comandancia general del Frente Farabundo Martí para la Liberación Nacional con motivo del fin de año.	Radio Venceremos	
0:14:56	0:15:02	(Música sin letra)	Música	
0:15:03	0:15:11	A continuación, nuestro compañero sacerdote Rogelio Ponseele en un mensaje dirigido a nuestro pueblo cristiano.	Comentarista Invitado	Ponseele
0:15:12	0:16:00	En el Frente Nororiental Francisco Sánchez acabamos de pasar por una etapa difícil y dolorosa. Si bien es cierto que en términos militares el enemigo fue derrotado, es decir, no pudo lograr ni en una mínima parte su objetivo el de aniquilar a las fuerzas guerrilleras de nuestro frente a pesar de haber armado un gigantesco operativo, también es cierto que su mano criminal donde quiera que pasó dejó un saldo de centenares de muertos, en su mayoría niños, mujeres y ancianos, parte de la población civil indefensa que no pudo escapar a la furia irracional del enemigo.	Comentarista Invitado	Ponseele
0:16:01	0:16:23	Porque ahí están nuestros hermanos, amigos y parte de este pueblo pobre al que queremos liberar nos embarga un inmenso dolor y nos nace espontáneamente, no con el afán de ofender a Dios, sino más bien en búsqueda de una respuesta la oración del Salmo 13.	Comentarista Invitado	Ponseele
0:16:24	0:16:48	"¿Hasta cuándo, Señor, seguirás olvidándonos? ¿Hasta cuándo esconderás de nosotros tu rostro? ¿Hasta cuándo sentiremos recelo en nuestra alma y tristeza en nuestro corazón? ¿Hasta cuándo nos ganarán aquellos que nos odian? Señor, Dios nuestro, mira y respóndenos."	Comentarista Invitado	Ponseele
0:16:50	0:17:13	El acontecimiento navideños nos trae la respuesta. Dios nos invita a fijar nuestra mirada en este niño frágil e indefenso que viene de lo alto y que nace en medio de la pobreza y de la persecución. Nace en un pesebre porque no hallaron lugar en la posada.	Comentarista Invitado	Ponseele
0:17:14	0:17:38	Sus padres, María y José, son personas extremadamente pobres. Para escapar a la furia del rey Herodes, que no vacila en mandar a masacrar a todos los niños de Belén menores de dos años con el objetivo de eliminar a Jesús, le toca también, diríamos nosotros, maniobrar en el terreno.	Comentarista Invitado	Ponseele
0:17:40	0:18:15	Este contexto de pobreza y de persecución que caracteriza su nacimiento le acompañará toda su vida hasta Gólgota donde le toca asumir la muerte más vergonzosa de su tiempo, la muerte en la cruz. Es en este momento crítico, en este momento de aparente fracaso que presenciamos la intervención poderosa de Dios padre que rescata a su hijo Jesús, que se convierte en el hijo de Dios libre de toda atadura.	Comentarista Invitado	Ponseele
0:18:16	0:18:48	En síntesis, Jesús señala y recorre él mismo para orientación muestra el camino de la salvación y así se constituye en nuestro Salvador. En Jesús el camino de la salvación está trazado. Todo hombre y por consiguiente todo pueblo que quiere alcanzar su verdadera libertad tiene que pasar necesariamente por este doloroso camino de la humillación, de sufrimiento y de la muerte.	Comentarista Invitado	Ponseele
0:18:50	0:19:32	En la historia de este niño que nace en belén leemos la historia de nuestro pueblo. Nace un pueblo frágil e indefenso en medio de un contexto de pobreza y de persecución. El nuevo Herodes busca humillarlo y aniquilarlo. Para escapar a la furia del nuevo Herodes, que no vacila en mandar a masacrar a niños, mujeres y ancianos, a este pueblo le toca ponerse permanentemente en camino, pero no se desespera, va caminando a sabiendas que este camino conduce sin la menor duda al tan anhelado triunfo.	Comentarista Invitado	Ponseele
0:19:33	0:19:57	Es aquí donde encontramos la respuesta de Dios. Nuestra fe no borra el dolor ni lo hace menos amargo, pero sí nos ayuda a asumirlo como parte de un caminar, de un proceso que pese a las apariencias tiene que desembocar en una nueva sociedad libre de terror, violencia y muerte.	Comentarista Invitado	Ponseele
0:19:58	0:20:22	Por eso mantenemos viva la esperanza, una esperanza robustecida por los pequeños y grandes triunfos que hemos logrado en estos últimos días. Se hizo fracasar el gigantesco operativo del enemigo a través de una eficiente estrategia ordenada por nuestra comandancia.	Comentarista Invitado	Ponseele
0:20:24	0:20:39	A pocos días del inicio del operativo ya estábamos retomando las posiciones anteriores. Nuevamente transmite la Radio Venceremos desmintiendo la campaña engañadora del enemigo.	Comentarista Invitado	Ponseele
0:20:40	0:21:15	Por colmo, en una contraofensiva ágil y bien planificada, se logró sacar y golpear a los efectivos del ejército burgués que se habían quedado reconquistando el control sobre toda la zona. Estos hechos victoriosos que se han dado con ciertos variantes también en todos los demás frentes manifiestan de que Dios no abandona a un pueblo al que asiste a todas luces la razón y la justicia.	Comentarista Invitado	Ponseele
0:21:16	0:21:37	Es nuestra profunda convicción de que Dios que es amor, prueba está en el gesto navideño haciéndose Dios igual a nosotros, que este Dios amor no descansará hasta que triunfará la justicia sobre la opresión y la violencia.	Comentarista Invitado	Ponseele
0:21:38	0:22:00	Por eso, llenos de esperanza nos encontramos concluyendo un año e iniciando otro. Seguiremos en 1982 trabajando y luchando por la organización masiva de nuestro pueblo, única forma para alcanzar una paz justa.	Comentarista Invitado	Ponseele
0:22:01	0:22:31	Por la unidad y la solidaridad, condiciones indispensables para un pronto desenlace feliz del doloroso conflicto. Por la consolidación del poder popular forjando desde ya una nueva sociedad y por la conquista de un Gobierno de amplia participación estrechando la mano a todo hombre honesto y deseoso de hacer de nuestra patria una patria justa y fraterna.	Comentarista Invitado	Ponseele
0:22:33	0:22:48	Un feliz Año Nuevo a todos que estamos dispuestos a recorrer el camino de Jesús y a no descansar hasta lograr para nuestro pueblo el triunfo total y definitivo.	Comentarista Invitado	Ponseele
0:22:49	0:22:59	<i>Como un chorro de luz iridiscente <br> surge puro y potente <br> El Salvador. <br> Al filo de la recia satrapía--	Música	Canción
0:23:00	0:23:08	Escuchamos al compañero sacerdote Rogelio Ponseele en un mensaje a nuestro pueblo cristiano.	Radio Venceremos	
0:23:09	0:23:44	<i>El Salvador. Si el vesánico norte está rumiando, mancillar nuestra ortiga cuzcatleca, no olvide el invasor y el mercenario que hay 100 volcanes en la cordillera. El volcán Farabundo en la vanguardia, el José Feliciano en erupción, el Modesto Ramírez en retaguardia y un volcán permanente, Juan Chacón.	Música	Canción
0:23:45	0:24:08	Ahora hacemos contacto con una de nuestras unidades móviles, la cual desde la población de El Mozote trae nuevos testimonios sobre la masacre efectuada por la dictadura en el departamento de Morazán donde asesinó a sangre fría a alrededor de 1.000 campesinos salvadoreños. Adelante, compañeros.	Radio Venceremos	
0:24:09	0:24:37	En estos momentos la unidad móvil de Radio Venceremos se encuentra con una señora víctima de la represión en El Mozote, jurisdicción de Meanguera, en el departamento de Morazán. Señora que logró sobrevivir a la masacre perpetrada por los cuerpos represivos en ese lugar y en otros caseríos del departamento.	Entrevista	Rufina_Amaya
0:24:38	0:24:41	Compañera, ¿podría decirnos su nombre?	Entrevista	Rufina_Amaya
0:24:42	0:24:43	Rufina Amaya	Entrevista	Rufina_Amaya
0:24:43	0:24:45	¿Cuántos años tiene?	Entrevista	Rufina_Amaya
0:24:45	0:24:46	38	Entrevista	Rufina_Amaya
0:24:48	0:25:00	Compañera, tenemos entendido que usted fue testigo de la masacre y víctima de ella en la población de El Mozote. ¿Podría narrarnos cómo sucedieron los hechos?	Entrevista	Rufina_Amaya
0:25:00	0:25:22	El día viernes del 12 de diciembre llegaron a sacar a la gente a las 5:00 AM de las casas, a alinearlas en la placita del frente de la Ermita. De allí los tuvieron, allí los niños desnudos aguantando frío.	Entrevista	Rufina_Amaya
0:25:22	0:25:37	De allí los llevaron a las casas a encerrarlos, los hombres los encerraron en la iglesia, a nosotros nos encerraron en la casa de Alfredo Márquez. De allí los tuvieron aguantando hambre y sed hasta las seis de la tarde.	Entrevista	Rufina_Amaya
0:25:38	0:25:43	A las 12:00 PM mataron a los hombres.	Entrevista	Rufina_Amaya
0:25:45	0:26:00	A las 2:00 PM sacaron las muchachas a los cerros, las llevaron y las tuvieron hasta las 6:00 AM del otro día. De allí las mataron y las quemaron. Todas ellas las violaron. Después de que las violaron, las mataron.	Entrevista	Rufina_Amaya
0:26:02	0:26:10	Los hombres los vendaron, de allí los mataron. Yo los estaba viendo allá donde estaban matando los hombres por una ventanita donde nos tenían encerradas.	Entrevista	Rufina_Amaya
0:26:11	0:26:30	De allí miraba yo cómo les hacían, cómo los tiraban, después los mataban. Los soldados hacían ingratitudes con los hombres porque les entregaran las pistolas, ellos como no tenían pistolas, no eran de ninguna organización, ellos murieron injustamente todos allí, ¿por qué? Porque no tenían qué entregar.	Entrevista	Rufina_Amaya
0:26:31	0:26:53	A ellos lo han hecho con una ingratitud de matar todos estos niños por odios personales, por todas las cosas, ellos creen que están matando guerrilleros y no, son niños y mujeres los que matan. Deben de ponerse la mano en sus pechos estos asesinos que es lo que andan haciendo en El Mozote, en todos los departamentos que andan matando mujeres y niños.	Entrevista	Rufina_Amaya
0:26:54	0:27:12	Las ancianas las sacaron primero a matarlas. Mataron primero a Margarita Márquez y Vicenta del Cid. De allí mataron las otras señoras, una Gurelia, otra Bartola, que eran ancianas, que ya no podían ni caminar, tenían a lo menos 80 años cada una.	Entrevista	Rufina_Amaya
0:27:12	0:27:24	De allí mataron a los ancianos, a Israel Márquez, Leoncio Claro, que ese Leoncio no manejaba ni podía caminar. A Lorenza, que era la mujer de don Leoncio.	Entrevista	Rufina_Amaya
0:27:24	0:27:32	Rufina, ¿podría explicarle a nuestro pueblo cómo fue que logró salvar su vida?	Entrevista	Rufina_Amaya
0:27:33	0:28:00	Sí. Les puedo contar cómo me salvé. Cuando nos sacaron a nosotros a alinearlos a donde nos iban a matar yo me quedé, me les escondí al lado de un palito de manzano, de una mata de piña, allí me quedé, agachando una ramita con el dedo, allí me tapé y entonces no me vieron los asesinos. Entonces, mataron toditas las mujeres allá, viendo bien yo cuando las terminaron de matar y las quemaron.	Entrevista	Rufina_Amaya
0:28:01	0:28:39	Yo a como pude, después de que mataron toda esa gente, que mataron toda la gente, ellos se fueron al rastrillo. Me quedó un campito de salirme porque las botas no me vieron donde me había quedado. Yo ahí donde me había quedado, ellos entraron de frente en mí a platicar. Allí estaba el teniente también con ellos, toda la tropa allí rodeados, a platicar que ellos no eran de este lugar, de aquí, sino que eran de otras partes, que a ellos los habían mandado a matar gente, no los habían mandado a tolerar gente.	Entrevista	Rufina_Amaya
0:28:39	0:28:51	Compañera, ¿podría decirnos qué más escuchó en las pláticas que sostenían los criminales que en ese momento acababan de cometer la masacre de El Mozote?	Entrevista	Rufina_Amaya
0:28:52	0:29:11	Yo oí decir que era el teniente Ortega el que mataba a la gente, ordenaba que mataran los niños y todo. Habían unos que decían que no querían matar niños, que mujeres mataban, porque eso habían hombres y mujeres, porque sabían ellos, que ellos sabían por qué, que no se habían salido, pero los niños no.	Entrevista	Rufina_Amaya
0:29:12	0:29:16	El teniente Ortega dijo que él un solo balazo le iba a dar al que no quería matar niños.	Entrevista	Rufina_Amaya
0:29:17	0:29:28	Ellos la ropa que usaban era flageada, negro, además decían que ellos eran del Escuadrón de la Muerte. Habían caído en el avión allí al llano.	Entrevista	Rufina_Amaya
0:29:29	0:29:44	En frente de mí se pusieron a contar cómo iban a matar a los niños, que dijeron que los iban a ser degollados y ahorcados. Yo vi cuando estaban haciendo las pitas que estaban haciendo para ahorcar a los niños después que los otros los mataran.	Entrevista	Rufina_Amaya
0:29:46	0:29:58	Yo creo que es cierto que ahorcados y degollados han hecho a los niños porque yo estaba oyendo, tiros no se oyeron, los niños solo lloraban y gritaban a las madres que estaban matándolos.	Entrevista	Rufina_Amaya
0:29:58	0:30:08	Quemaron todos los niños y todas las mujeres dijeron que ellas no se iban hasta ver por fin que podían salir brujos de los que estaban quemando.	Entrevista	Rufina_Amaya
0:30:08	0:30:16	Al fin, pues, de allí, del caserío de El Mozote no salió ninguna persona, solamente mí, porque allí todas las mataron con toda la familia.	Entrevista	Rufina_Amaya
0:30:18	0:30:42	A mí me mataron los cuatro niños y el marido, que se llamaba Domingo Claro. Era impedido de la vista, él no veía, él solo veía con anteojos. Los niños, uno se llamaba Cristino Claro, la otra niña se llamaba Lolita Claro y la otra niña se llamaba Lilian Claro, la niña de pecho que me mataron, de ocho meses, se llamaba Isabel Claro.	Entrevista	Rufina_Amaya
0:30:43	0:31:07	Rufina, ya para terminar esta entrevista, quisiéramos saber si tienes algún mensaje para los pueblos del mundo, para el pueblo salvadoreño como madre, como mujer campesina víctima de la represión desatada por la Junta Militar Democristiana en contra del pueblo salvadoreño.	Entrevista	Rufina_Amaya
0:31:08	0:31:34	Yo tuviera un mensaje, de pedir que todos estos pueblos, sea República o pueblo que ponga una repugnancia, que no maten los niños ni las mujeres. Que se solidaricen con nosotros que somos víctimas de la represión. Digamos que la lucha del pueblo no es de balde porque ellos no matan niños ni mujeres.	Entrevista	Rufina_Amaya
0:31:34	0:31:48	También le pido a la mujer salvadoreña que se incorpore para defender su familia y sus hijos para que no les pase como nos pasó a nosotros por confiados, que las autoridades de la militar no los iban matar.	Entrevista	Rufina_Amaya
0:31:50	0:32:10	También quisiera pedirles a los soldados asesinos que piensen lo que van a hacer, que no maten los niños, que reincorporen, que los niños no tienen que ver con los guerrilleros, que antes de cumplir esas órdenes que vean que los que están asesinando.	Entrevista	Rufina_Amaya
0:32:11	0:32:37	Estas han sido las declaraciones de Rufina Amaya Márquez. Mujer campesina, del caserío El Mozote, jurisdicción de Meanguera, víctima y única sobreviviente de la criminal represión desatada por la Junta Militar Democristiana en diciembre 12 de este año en el departamento de Morazán.	Entrevista	Rufina_Amaya
0:32:38	0:33:01	<i>Los quiero ver aquí juzgados <br> en esta plaza, en este sitio. <br> Quiero castigo, <br> quiero castigo, <br> quiero castigo…	Música	Canción
0:33:02	0:33:26	Emplazamos de nuevo al presidente de la Junta Militar Democratacristiana, ingeniero José Napoleón Duarte a que desmienta Radio Venceremos de que toda la población de El Mozote, mujeres, hombres, ancianos y niños fueron masacrados fríamente por las tropas al mando del mayor Cáceres.	Radio Venceremos	
0:33:27	0:33:36	(Música sin letra)	Música	
0:33:37	0:34:00	El pueblo salvadoreño ha dado muestras de una gran heroicidad y de una elevada capacidad combativa. A pesar de las decenas de miles de salvadoreños muertos, continúa y fortalece su lucha libertaria. Hemos vivido muchos ejemplos de coraje y valentía.	Radio Venceremos	
0:34:01	0:34:43	El recién pasado 29 de diciembre, fecha en que los compañeros Elmer, Serapio y Edwin cayeron en los victoriosos combates de la Guacamaya en el departamento de Morazán dando así muestras claras de su agresividad revolucionaria, afianzadas en una indoblegable decisión de vencer y una profunda confianza en la victoria. Ellos nos han legado el ejemplo de revolucionarios, que a pesar de su alta capacidad combativa, nunca perdieron su sencillez y modestia. Son cualidades fundamentales de luchadores proletarios.	Radio Venceremos	
0:34:44	0:35:26	Su consecuencia los llevó a cumplir con su compromiso con el pueblo salvadoreño llegando al máximo compromiso de legar hasta su propia vida. El Frente Oriental Francisco Sánchez ha perdido a tres de sus mejores combatientes, pero estamos seguros que otros ya llenarán el espacio vacío dejado por los compañeros y muchos más seguirán el ejemplo de su decisión de vencer o morir. Unidos para combatir, hasta la victoria final. Revolución o muerte, venceremos. Frente Oriental Francisco Sánchez, zona sur.	Radio Venceremos	
0:35:27	0:35:34	(Música sin letra)	Música	
0:35:35	0:35:47	A continuación, Radio Venceremos, premio 1981 de la Organización Internacional de Periodistas presenta Plomo Informativo.	Radio Venceremos	
0:35:47	0:35:53	(Balacera)	Efectos de sonido	Sonidos
0:35:54	0:35:57	Estas son nuestras informaciones.	Reporte	Reporte
0:35:59	0:36:29	Sacerdote norteamericano acusa a administración Reagan. Los Estados Unidos juegan un papel destructivo en América Latina y países del continente aplicando una peligrosa política semejante a la que les condujo en los años 60 a la guerra de Vietnam, declaró el sacerdote norteamericano Albert Edimen que vivió durante 30 años en El Salvador y Guatemala.	Reporte	EE.UU.
0:36:30	0:37:09	Las fuerzas que se oponen a la dictadura salvadoreña, expresó el sacerdote, crecen día a día y cada vez logran mayores éxitos en su lucha. Volviendo al tema de la injerencia de los Estados Unidos, el sacerdote Reitman afirmó que la ayuda norteamericana a los países del área se circunscribe al suministro de armas y al envío de asesores militares. A la hora en que las fuerzas del Frente Oriental Francisco Sánchez ponen en desbandada a la fuerzas de la dictadura, más información.	Reporte	EE.UU.
0:37:10	0:37:22	Continúa solidaridad para con nuestro pueblo en Venezuela.  Más de 1.500 estudiantes de la universidad venezolana del estado de Zulia condenaron la injerencia de Venezuela y Estados Unidos en nuestro país.	Reporte	Venezuela
0:37:23	0:37:47	En un anuncio publicado en el periódico El Nacional de aquel país los estudiantes universitarios manifestaron su repudio y preocupación por el triste y vergonzoso papel que está jugando en Venezuela al colaborar con la dictadura militar democratacristiana salvadoreña en el genocidio sin precedentes que esta viene realizando desde que usurpó el poder.	Reporte	Venezuela
0:37:48	0:38:26	De nuevo prorrogan estado de sitio. Por 30 días más fue prorrogado el estado de sitio, anunció el pasado martes la Junta Militar Democristiana. El estado de sitio fue implantado en nuestro país el seis de marzo del corriente año, fecha desde la cual le fue suspendida al pueblo salvadoreño las libertades constituciones, especialmente en lo que respecta a la inviolabilidad de la correspondencia libre tránsito por el territorio nacional y el derecho a la libre expresión.	Reporte	
0:38:27	0:38:40	Dentro de breves instantes, Radio Venceremos presentará el mensaje de fin de año de la comandancia general del Frente Farabundo Martí para la Liberación Nacional, vanguardia político-militar de nuestro pueblo.	Reporte	
0:38:41	0:39:23	A continuación, recibimos un informe de guerra del Frente Paracentral Anastasio Aquino que dice así, "29 de diciembre, este día un pelotón del ejército del FMLN colocó emboscadas de aniquilamiento a fuerzas enemigas de la dictadura a las 6:35 AM en el kilómetro 78 de la carretera panamericana en el departamento de San Vicente. A las 10:20 AM el enemigo se hizo presente en un vehículo particular donde se transportaban unos 12 efectivos del ejército vestidos de civil portando todos fusiles G-3."	Reporte	San_Vicente
